id;nazwa;miasto;kod;link www;e-mail;tel 1;tel 2;fax;x;y;ulica;numer
5603;Olsztyñska 7AB;Gdañsk;80-395;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.405488;18.608746;Olsztyñska;7AB
5604;Gojawiczyñskiej 3c;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.358274;18.591271;Gojawiczyñskiej;3c
5605;Obroñców Wybrze¿a 4A;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408155;18.593398;Obroñców Wybrze¿a;4A
5606;Gojawiczyñskiej 6a;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.358877;18.590850;Poli Gojawiczyñskiej;6a
5607;Obroñców Wybrze¿a 4B ;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408164;18.592468;Obroñców Wybrze¿a;4B
5608;Na³kowskiej 1;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360077;18.590693;Zofii Na³kowskiej;1
5609;Obroñców Wybrze¿a 4F Przedszkole nr 59;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.407440;18.593036;Obroñców Wybrze¿a;4F
5610;Na³kowskiej 5;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360267;18.593226;Zofii Na³kowskiej;5
5611;Na³kowskiej 6;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.359739;18.593920;Zofii Na³kowskiej;6
5612;Obroñców Wybrze¿a 6A;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408451;18.596096;Obroñców Wybrze¿a;6A
5613;Zab³ockiego 3;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360869;18.595655;Franciszka Zab³ockiego;3
5614;Obroñców Wybrze¿a 6C;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408405;18.594835;Obroñców Wybrze¿a;6C
5615;Zab³ockiego 2,4;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.361022;18.594036;Franciszka Zab³ockiego;2,4
5616;Obroñców Wybrze¿a 6D;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408242;18.593773;Obroñców Wybrze¿a;6D
5617;Morenowa 1;Gdañsk;80-172;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.356333;18.593954;Morenowa ;1
5618;Obroñców Wybrze¿a 7;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.409805;18.595650;Obroñców Wybrze¿a;7
5619;3 lipy 3;Gdañsk;80-172;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.354703;18.593501;3 lipy ;3
5620;Obroñców Wybrze¿a 8D;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408623;18.596227;Obroñców Wybrze¿a;8D
5621;Schumana Carrefour;Gdañsk;80-171;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.358889;18.604327;Roberta Schumana;
5622;Obroñców Wybrze¿a 10D;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.409322;18.599524;Obroñców Wybrze¿a;10D
5623;Potokowa 29;Gdañsk;80-283;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.362798;18.557157;Potokowa ;29
5624;Obroñców Wybrze¿a 12;Gdañsk;80-398;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.409721;18.602506;Obroñców Wybrze¿a;12
5625;Potokowa 25;Gdañsk;80-283;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.363007;18.558151;Potokowa ;25
5626;Ch³opska 10M;Gdañsk;80-399;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.407174;18.592684;Ch³opska;10M
5627;Matemblewska 42 (parking);Gdañsk;80-283;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.367021;18.549334;Matemblewska ;42
5628;Ch³opska 10A;Gdañsk;80-399;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.405314;18.592454;Ch³opska;10A
5629;Ch³opska 12M;Gdañsk;80-399;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406161;18.592050;Ch³opska;12M
5630;Matemblewska 9 (koœció³);Gdañsk;80-283;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.365088;18.555315;Matemblewska;9
5631;Ch³opska 20C;Gdañsk;80-375;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.410901;18.591250;Ch³opska;20C
5632;Ch³opska 20G;Gdañsk;80-375;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.410785;18.589929;Ch³opska;20G
5633;Reformacka 19;Gdañsk;80-808;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340353;18.631592;Reformacka ;19
5634;Ch³opska 22M;Gdañsk;80-375;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411052;18.589056;Ch³opska;22M
5635;Reformacka 25;Gdañsk;80-808;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340414;18.632933;Reformacka;25
5636;Ch³opska 24C;Gdañsk;80-375;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411638;18.590990;Ch³opska;24C
5637;Worcella 44;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.338254;18.627651;Stanis³awa Worcella;44
5638;Ch³opska 24M;Gdañsk;80-375;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411406;18.588940;Ch³opska;24M
5639;Jagielloñska 5 (Szko³a);Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412861;18.589424;Jagielloñska;5
5640;Grabowskiego 3;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.338775;18.625293;Witolda Grabowskiego;3
5641;Jagielloñska 10B;Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.413342;18.596605;Jagielloñska;10B
5642;Grabowskiego 5;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.338929;18.622218;Witolda Grabowskiego;5
5644;Grabowskiego 9-11;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.339740;18.625106;Witolda Grabowskiego;11-wrz
5645;Jagielloñska 10H;Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412539;18.592432;Jagielloñska;10H
5646;Biegañskiego 11-13;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.344450;18.624395;W³adys³awa Biegañskiego;13-lis
5647;Jagielloñska 10F;Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412782;18.593715;Jagielloñska;10F
5648;Biegañskiego 35;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.344553;18.622466;W³adys³awa Biegañskiego;35
5649;Jagielloñska 11 (Szko³a);Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.413981;18.595583;Jagielloñska;11
5650;Jagielloñska 12 (Przedszkole);Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412209;18.594171;Jagielloñska;12
5651;Jagielloñska 14;Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411683;18.593647;Jagielloñska;14
5652;Jagielloñska 14;Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411639;18.593138;Jagielloñska;14
5653;Jagielloñska 26E;Gdañsk;80-366;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411461;18.597396;Jagielloñska;26E
5654;Jagielloñska 26M;Gdañsk;80-366;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411295;18.595767;Jagielloñska;26M
5655;Jagielloñska 28E;Gdañsk;80-366;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411793;18.596641;Jagielloñska;28E
5656;Jagielloñska 30K;Gdañsk;80-367;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412291;18.595950;Jagielloñska;30K
5657;Jagielloñska 32C;Gdañsk;80-367;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412647;18.596588;Jagielloñska;32C
5659;Jagielloñska 40D;Gdañsk;80-371;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.413267;18.600177;Jagielloñska ;40D
5661;Jagielloñska 42M;Gdañsk;80-367;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412806;18.600801;Jagielloñska ;42M
5662;Jagielloñska 42F;Gdañsk;80-367;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412767;18.600619;Jagielloñska;42F
5663;Jagieloñska 44C;Gdañsk;80-366;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412281;18.600926;Jagielloñska;44C
5664;D¹broszczaków 24A;Gdañsk;80-365;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411331;18.599528;D¹broszczaków;24A
5665;Jagielloñska 24 (szko³a);Gdañsk;80-367;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411069;18.597396;Jagielloñska;24
5666;Biegañskiego 19;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.343667;18.622862;Biegañskiego;19
5667;Biegañskiego 15;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.344448;18.624377;Biegañskiego;15
5668;Biegañskiego 29-27-21;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.344427;18.621438;Biegañskiego;29-27-21
5669;Biegañskiego 31;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.343688;18.620454;Biegañskiego;31
5670;Biegañskiego 39;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.342810;18.619276;Biegañskiego;39
5671;Biegañskiego 14;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.344454;18.624375;Biegañskiego;14
5672;Skar¿yñskiego 3b;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.388500;18.606105;Stanis³awa Skar¿yñskiego;3B
5673;Dokerów 11;Gdañsk;80-812;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.344229;18.633282;Dokerów;11
5674;Skar¿yñskiego 3E;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.388724;18.605604;Stanis³awa Skar¿yñskiego;3E
5675;Skar¿yñskiego 4;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.388484;18.604030;Stanis³awa Skar¿yñskiego;4
5676;Zielonogórska 4 (teren MOSIR);Gdañsk;80-812;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.343031;18.634879;Zielonogórska;4
5677;SKar¿yñskiego 5;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.388539;18.605002;Stanis³awa Skar¿yñskiego;5
5678;SKar¿yñskiego 8;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.387487;18.602592;Stanis³awa Skar¿yñskiego;8
5679;Lotników Polskich 12;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.339667;18.631196;Lotników Polskich;12
5680;Skar¿yñskiego 10;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.388498;18.602232;Stanis³awa Skar¿yñskiego;10
5681;Cha³ubiñskiego 5;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.342312;18.625800;Cha³ubiñskiego;5
5682;Skar¿yñskiego 12;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.387489;18.602599;Stanis³awa Skar¿yñskiego;12
5683;Skar¿yñskiego 14;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.387403;18.600512;Stanis³awa Skar¿yñskiego;14
5685;Cha³ubiñskiego 11;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.341770;18.622523;Cha³ubiñskiego;11
5686;Dywizjonów 303 5;Gdañsk;80-462;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.389964;18.597903;Dywizjonu 303;5
5687;Cha³ubiñskiego 13 (szko³a);Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340267;18.622276;Cha³ubiñskiego;13
5688;Dywizjonu 303 13;Gdañsk;80-462;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.390237;18.602706;Dywizjonu 303;13
5689;Dywizjonu 303 33;Gdañsk;80-462;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.392431;18.601069;Dywizjonu 303;33
5690;Cha³ubiñskiego 15 (Przedszkole 85);Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340923;18.622645;Cha³ubiñskiego;15
5691;Cha³ubiñskiego 18;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.342129;18.621377;Cha³ubiñskiego;18
5692;Pilotów 3;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.392258;18.596058;Pilotów;3
5693;Cha³ubiñskiego 20;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.342154;18.620549;Cha³ubiñskiego;20
5694;Pilotów 5;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.392028;18.595767;Pilotów;5
5695;Cha³ubiñskiego 33-37;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.339358;18.620351;Cha³ubiñskiego;33-37
5696;Pilotów 7 XV LO;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.393336; 18.593863;Pilotów;7
5697;Dragana 20;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340229;18.615189;Dragana;20
5698;Pilotów 8F;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.391547;18.592646;Pilotów;8F
5699;Pilotów 8A;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.391650;18.594801;Pilotów;8A
5700;Pilotów 10;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.392288;18.590724;Pilotów;10
5701;Dragana 23;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340706;18.614470;Dragana;23
5702;Pilotów 12F;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.393300;18.590903;Pilotów;12F
5703;Dragana 12;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.341521;18.613872;Dragana;12
5704;Pilotów 13A;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.393928;18.592305;Pilotów;13A
5705;Dragana 16;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.341543;18.616128;Dragana;16
5706;Dragana 8-11;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.341033;18.613252;Dragana;11-sie
5707;Pilotów 15;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.394613;18.591482;Pilotów;15
5708;Dragana 6/7;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340472;18.612162;Dragana;07-cze
5709;Pilotów 18A;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.394419;18.587899;Pilotów;18A
5710;Dragana 2;Gdañsk;80-980;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.339422;18.607776;Dragana;2
5711;Pilotów 18CD;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.394806;18.587616;Pilotów;18CD
5712;Dragana 4-3;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340447;18.610183;Dragana;03-kwi
5713;Pilotów 17A;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.394492;18.590153;Pilotów;17A
5714;Dragana 5;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340166;18.611078;Dragana;5
5715;Dragana 21;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340223;18.615196;Dragana;21
5716;Pilotów 17G;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.395284;18.590587;Pilotów;17G
5717;Pilotów 19C;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.395844;18.590241;Pilotów;19C
5718;Dragana 9;Gdañsk;80-807;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.340154;18.613760;Dragana;9
5719;Pilotów 23;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.396767;18.588616;Pilotów;23
5720;Witosa 5;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.338998;18.609969;Witosa;5
5721;Pilotów 20C;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.395606;18.587625;Pilotów;20C
5722;Witosa 15;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.339037;18.614443;Witosa;15
5723;Starowa 3 ;Gdañsk;80-460;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.393372;18.597270;Starowa ;3
5724;Witosa 13;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.338967;18.615858;Witosa;13
5725;Startowa 5;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.393790;18.599046;Startowa;5
5726;Witosa 25;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.339073;18.616969;Witosa;25
5727;Startowa 9 (szko³a);Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.394741;18.596660;Startowa;9
5728;Cebertowicza 1;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.337524;18.60694699999999;Cebertowicza;1
5729;Cebertowicza 12A;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.336388;18.604145000000017;Cebertowicza;12A
5730;Startowa 11A;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.394441;18.597963;Startowa;11A
5731;Startowa 11C;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.394793;18.598026;Startowa;11C
5732;Cebertowicza 6-8;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.337361;18.605038;Cebertowicza;08-cze
5733;Startowa 13A;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.395802;18.598498;Startowa;13A
5734;Cebertowicza 17;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.335518;18.607105;Cebertowicza;17
5735;Startowa 13H;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.396558;18.596735;Startowa;13H
5736;Cebertowicza 18;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.335744;18.606383;Cebertowicza;18
5737;Startowa 15D;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.396914;18.595886;Startowa;15D
5738;Cebertowicza 14;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.336511;18.606357;Cebertowicza;14
5739;Pasa¿ Che³mski;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.337070;18.612128;Pasa¿ Che³mski;
5740;Startowa 17;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.395440;18.592862;Startowa;17
5741;Kopeckiego 2;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.336679;18.611820;Kopeckiego;2
5742;Kopeckiego 11;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.335914;18.610337;Kopeckiego;11
5743;Startowa 19D;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.395706;18.594125;Startowa;19D
5744;Szpora 1;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.335143;18.609248;Szpora;1
5745;Startowa 23;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.397826;18.593624;Startowa;23
5746;Szpora 5-7;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.335723;18.610016;Szpora;07-maj
5747;Startowa 25A;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.397952;18.592409;Startowa ;25A
5748;Cieszyñskiego 1 (Koœció³);Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.337055;18.614570;Cieszyñskiego;1
5749;Startowa 29E;Gdañsk;80-461;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.397514;18.590849;Startowa ;29E
5750;Cieszyñskiego 2-4;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.338234;18.604623;Cieszyñskiego;04-lut
5751;Nagórskiego 5A;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.392336;18.602700;Jana Nagórskiego ;5A
5752;Cieszyñskiego 17;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.334052;18.616387;Cieszyñskiego;17
5753;Nagórskiego 7;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.392109;18.603826;Jana Nagórskiego ;7
5754;Nagórskiego 9;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.390624;18.604418;Jana Nagórskiego ;9
5755;Cieszyñskiego 22;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.337607;18.608374;Cieszyñskiego;22
5756;Bajana 3;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.390831;18.605692;Jerzego Bajana;3
5757;Cieszyñskiego 30;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.336580;18.610030;Cieszyñskiego;30
5758;Bajana 9;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.389654;18.606519;Jerzego Bajana;9
5759;Cieszyñskiego 50;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.336479;18.614449;Cieszyñskiego;50
5760;Bajana 11;Gdañsk;80-463;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.389298;18.607511;Jerzego Bajana;11
5761;Wiêckowskiego 2;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.334394;18.615871;Wiêckowskiego;2
5762;Jana Paw³a II 4;Gdañsk;80-462;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.390740;18.598598;Jana Paw³a II;4
5763;Wiêckowskiego 10;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.334099;18.614023;Wiêckowskiego;10
5764;Wiêckowskiego 1;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.333111;18.615706;Wiêckowskiego ;1
5765;Wojska Polskiego 8;Gdañsk;80-277;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.386396;18.590439;Wojska Polskiego ;8
5766;Wiêckowskiego 6;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.334728;18.612542;Wiêckowskiego;6
5767;Wiêckowskiego 4;Gdañsk;80-809;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.334607;18.614332;Wiêckowskiego;4
5768;Wojska Polskiego 27-29;Gdañsk;80-277;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.387127;18.584605;Wojska Polskiego;27-29
5770;Wojska Polskiego 33;Gdañsk;80-268;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.388365;18.582078;Wojska Polskiego ;33
5771;Grunwaldzka 176;Gdañsk;80-266;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.384140;18.595245;Grunwaldzka ;176
5773;Meissnera 6;Gdañsk;80-462;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.401194;18.605095;Meissnera;6
5774;Grunwaldzka 238B;Gdañsk;80-266;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.388743;18.583772;Grunwaldzka;238B
5775;Meissnera 9 (Szko³a);Gdañsk;80-462;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.401564;18.604509;Meissnera;9
5776;Meissnera 11;Gdañsk;80-462;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.401620;18.605737;Meissnera;11
